date_time,now,direction,percent_gain,percent_loss,percent_win
2021-07-16 20:00,2021-07-16 20:00:00.789150,1,15,15,0.5
2021-07-16 21:00,2021-07-16 20:00:00.789150,-1,19,23,0.5
2021-07-24 19:00,2021-07-24 19:12:47.503638,1,11,8,0.6569846272468567
2021-07-25 23:00,2021-07-25 22:42:48.241245,0,0,0,0.3922309875488281
