date_time,Open,High,Low,Close,Volume,Close_bool,High_bool,Low_bool,High_label_bool,Low_label_bool,High_macd,Low_macd,High_rsi,Low_rsi,High_dpo,Low_dpo,High_coppock,Low_coppock,High_poly_interpolation,Low_poly_interpolation,parabolic_sar,High_bool__Low_bool,High_label_bool__Low_label_bool,weekday,hour
2021-05-27 05:00,1.21933,1.21967,1.21882,1.21955,1699,0,0,0,1,0,4.971067811100719e-05,1.0940540222274345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2180272184412462,-1,0,3,5
2021-05-27 06:00,1.21953,1.22023,1.21867,1.21981,5023,1,1,0,1,0,8.022436531807825e-06,2.1144665768109804e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2180600740724212,0,0,3,6
2021-05-27 07:00,1.21982,1.22082,1.21949,1.22057,5629,1,1,1,1,0,1.5325333542693363e-05,4.8358516501141444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2181468711095245,1,0,3,7
2021-05-27 08:00,1.2206,1.22149,1.218,1.21824,5744,0,1,0,1,0,5.8022580747377076e-05,-2.0833758778108347e-05,0.0,0.0,0.0002675000000000871,0.0007449999999999957,0.0,0.0,0.0,0.0,1.22149,0,0,3,8
2021-05-27 09:00,1.21827,1.2196,1.21819,1.21931,3686,1,0,1,1,0,-4.283940387318064e-05,-5.14909533526292e-05,0.0,0.0,0.0009550000000000392,-0.000587499999999963,0.0,0.0,0.0,0.0,1.22149,0,0,3,9
2021-05-27 10:00,1.21933,1.22083,1.21933,1.22051,3340,1,1,1,1,1,-2.9185431118611174e-05,4.356133833409277e-06,0.0,0.0,-0.0010850000000000026,-0.0005625000000000213,0.0,0.0,0.0,0.0,1.2213504,1,1,3,10
2021-05-27 11:00,1.22052,1.22107,1.21924,1.21962,5596,0,1,0,0,1,-7.58380631634461e-06,3.298917736119442e-05,0.0,0.0,8.249999999998536e-05,0.0006399999999999739,0.0,0.0,0.0,0.0,1.2212163839999999,0,0,3,11
2021-05-27 12:00,1.21963,1.22021,1.21843,1.2186,7611,0,0,0,0,1,-5.23152852201995e-05,-2.959912865006517e-06,0.0,0.0,0.0006425000000001013,0.00044250000000012335,0.0,0.0,0.0,0.0,1.22108772864,-1,0,3,12
2021-05-27 13:00,1.21861,1.2199,1.21797,1.21973,7589,1,0,0,0,1,-0.00010105921818501283,-5.5160394074941e-05,0.0,0.0,-0.00029250000000002885,-0.00031250000000015987,0.0,0.0,0.0,0.0,1.2209642194944,-1,0,3,13
2021-05-27 14:00,1.21972,1.22116,1.21919,1.22014,8936,1,1,1,0,1,-4.933877551518463e-05,-7.471099920322291e-06,0.0,0.0,-0.0006850000000000467,-0.0007375000000000576,0.0,0.0,0.0,0.0,1.21797,1,0,3,14
